Company Name,Skill,Title
Quality Systems India Healthcare Pvt Ltd,"Administration, Interpersonal skills, Claims, Senior Executive...",1
Quality Systems India Healthcare Pvt Ltd,"C, code, technical, software, JSON, microsoft, sql, Coding, web, design...",1
Quality Systems India Healthcare Pvt Ltd,"Core Java, Manager Quality Assurance, Configuration management, Agile, JDBC...",1
Quality Systems India Healthcare Pvt Ltd,"Front end, SOA, Data modeling, MySQL, Flex, Healthcare, Unit testing...",1
Quality Systems India Healthcare Pvt Ltd,"MS SQL, Project management, Web development, Agile, HTTP, Windows, Oracle...",1
Quality Systems India Healthcare Pvt Ltd,"code, technical, software, configuration, developing, HTML, sql, java, web,...",1
Quality Systems India Healthcare Pvt Ltd,"code, technical, software, microsoft, sql, Coding, web, design, debugging...",1
Quality Systems India Healthcare Pvt Ltd,"css, code, technical, software, configuration, HTML, sql, java, web, design...",1
Pathfinder Management Consulting (India) Ltd.,"C#, Powershell, System Analysis, Microsoft Azure, .Net, Problem Management,...",1
Pathfinder Management Consulting (India) Ltd.,"Big Data, Bigdata",1
Pamten Software Solutions Pvt. Ltd.,"Process design, PMP, Business Analyst, User interface designing...",1
Oruganti Consultants,"Unix, Java, Multithreading, Project Management, Design Patterns, OOAD, OOPS...",1
OpsRamp,"Computer science, Networking, Linux, Technical writing, MySQL, microsoft...",1
Optimum InfoSystem Pvt. Ltd.,"python, REST, java, Scrum Master, Nagios, shell scripting, SOAP, TIVOLI",1
"Optum, a UnitedHealth Group Company","Associate Director - Medical Coding - Hyderabad, TS",1
"Optum, a UnitedHealth Group Company","Cloud - Hyderabad, Technical Lead Java, TS",1
"Optum, a UnitedHealth Group Company",Senior Technical Support Analyst - Hyderabad Multiple Locations,1
"Optum, a UnitedHealth Group Company",Software Engineering Analyst - Java Fullstack - Multiple Locations,1
"Optum, a UnitedHealth Group Company","TS Multiple Locations, Architect - Hyderabad",1
Oravel Stays Private Limited,"TCP, Networking, Network Engineer, VPN, Routing, L3VPN, Bgp, CCNA, MPLS...",1
Oruganti Consultants,"Java, PMP, Project Management, System Design, Design Patterns, OOAD, SaaS...",1
Oruganti Consultants,"Java, R&D Manager, Project Management, Design Patterns, UML, OOAD, Database...",1
Oruganti Consultants,"Unix, Java, Project Management, Design Patterns, UML, OOAD, OOPS...",1
Pamten Software Solutions Pvt. Ltd.,"PMP, Email, Doc, Risk, General management, Information technology, closure,...",1
PEPSI FOODS PRIV LIMITED,"Automation, Data modeling, Project management, Information security, MIS...",1
PEPSI FOODS PRIV LIMITED,"IT services, Automation, Data modeling, Information security, MIS...",1
PEPSI FOODS PRIV LIMITED,"Procurement, IT services, Change management, IT strategy...",1
PEPSI FOODS PRIV LIMITED,"SAN, Automation, Hyperion, Information security, Consulting, Teradata...",1
PEPSI FOODS PRIV LIMITED,"Supply chain, IT services, Automation, MIS, Information security...",1
PEPSI FOODS PRIV LIMITED,"Supply chain, IT services, Automation, Publishing, Information security...",1
PEPSI FOODS PRIV LIMITED,"Supply chain, IT services, Computer science, Automation, MIS...",1
PIRAMAL Foundation,"system analysis, software development process, workflow analysis...",1
Pamten Software Solutions Pvt. Ltd.,"Business process, Process design, Computer science, PMP, PDF...",1
Pamten Software Solutions Pvt. Ltd.,"Computer science, Business process, System testing, PMP, Project management...",1
Srinsoft Technologies Pvt. Ltd.,"pega prpc, software development, pega developer, pega rules commander, pega...",1
Synchrony International Services Private Limited,"Computer science, Performance tuning, Automation, metadata, NoSQL, PDF...",1
Stalwart Management Consulting,"Team leading, SAS, Pharma, Management consulting, Life sciences...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Automation, Support Analyst, Production support, Asset management...",1
Wallero Technologies,"Computer science, Staffing, Information security, Corporate...",1
Web Synergies (India) Pvt. Ltd,"algorithms, development, SAS, analytical, mobile, Business intelligence...",1
Wells Fargo India Solutions Pvt. Ltd.,"Aix, SAN, Automation, Linux, Networking, Db2, Database Analyst, Windows...",1
Wells Fargo India Solutions Pvt. Ltd.,"Automation, MS SQL, jQuery, Networking, XML, Javascript, HTML, Perl, Oracle...",1
Wells Fargo India Solutions Pvt. Ltd.,"Computer science, SAN, Support Analyst, Db2, PLSQL, Asset management...",1
Wells Fargo India Solutions Pvt. Ltd.,"Data analysis, Manager Quality Assurance, Trade finance, Asset management...",1
Wells Fargo India Solutions Pvt. Ltd.,"Microstrategy, SAN, Data analysis, Db2, Informatica, Asset management...",1
Wells Fargo India Solutions Pvt. Ltd.,"Microstrategy, SAN, Performance tuning, Db2, Coding, Asset management...",1
Wells Fargo India Solutions Pvt. Ltd.,"Relationship management, Change management, Trade finance...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Application support, Db2, Performance testing, Application development...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Bfsi, Application development, Informatica, Test cases, Oracle...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, System architecture, Automation, SAS, Eclipse...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Change management, Networking, Production support, RDBMS...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Configuration management, SSRS, Agile, PLSQL, Stored procedures...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Data modeling, Configuration management, SSRS, SSIS, Teradata...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Db2, Informatica, Unit testing, Teradata, Risk management, Information...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Due diligence, Trade finance, Workflow, Asset management...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Hibernate, Configuration management, Workflow, Asset management...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Linux, Production support, Database design, Configuration management...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, MS SQL, Data analysis, MS Access, SSRS, Windows, SSIS, Documentum...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Performance tuning, Hibernate, Web services, JSP...",1
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Performance tuning, MS SQL, Database design, SSRS, JSON...",1
Vistex Asia Pacific Pvt Ltd,"Backend, Automation, Network administration, Linux, Analytical...",1
Vimbri Media Pvt. Ltd. (The Dollar Business),"Networking, WAN, LAN, Antivirus, IT Hardware, Switching...",1
Verizon Data Services India Pvt.Ltd,"Unix, XML, JSP, HTML, Application development, HTTP, Windows, Selenium...",1
Value Consulting,"development, erp, project management, information technology, pre sales...",1
Technosoft Global Services Pvt Ltd,"senior hrbp, payroll processing, human resource bp, lead hrbp, hrbp, hr bp,...",1
Technosoft Global Services Pvt Ltd,"technical knowledge, revenue avoided, people management, customer service...",1
Technosoft Global Services Pvt Ltd,"technical knowledge, revenue avoided, people management, team handling...",1
Techron Systems Private Limited,"sql400, order management, infor m3, infor xa user security, rpg, clle...",1
Tecnics IntegrationTechnologies Pvt. Ltd.,"oracle financial SME, oracle, oracle financial functional consultant...",1
Tectoro Consulting Pvt Ltd,"Computer science, IIS, Javascript, Agile, PHP, HTML, MVC, Visual Studio...",1
Teradata India Private Limited,"Java, C++, Software Development, C, Software Engineering, RDBMS...",1
Teradata India Private Limited,"Unix, System Programming, C++, Software Development, C, RDBMS...",1
The U.S. Pharmacopeial Convention (USP),Information Technology,1
Thinksure Information Technology Private Limited,"C#, Application Development, Effective Communication Skills, Dynamics CRM...",1
Thinksure Information Technology Private Limited,IT Recruitment,1
Thinksure Information Technology Private Limited,"client relationship management, stakeholder management, recruitment, client...",1
Thinksure Information Technology Private Limited,"interviewing, IT Recruiter, it recruitment, screening, hiring...",1
Trasers,"Computer science, jQuery, Front end, MySQL, Debugging, Consulting...",1
Trigent Software Limited,"bpo, voice process, international bpo, international voice process...",1
